Unnamed: 0,image_name,embedding
36669,119062.png,"[ 0.5054853  -0.39829203  0.36350086 -0.25569654  0.10626285 -0.32634175
  0.23551096 -0.34589896  0.241715   -0.49267548  0.4738726  -0.24116868
  0.47271025  0.5679522  -0.2943597   0.3942234  -0.18441097 -0.3392889
  0.24203014  0.2835871   0.37974918  0.46559733 -0.25529048  0.47406077
  0.30968636  0.40490702  0.23571678  0.3828052   0.41575927  0.4569006
 -0.5054424   0.5041419 ]"
61467,152639.png,"[ 0.27884975 -0.20959918  0.34499925 -0.23324834  0.5038397  -0.45018435
  0.20715652 -0.41501588  0.25689656 -0.3484785   0.20881127 -0.18386747
  0.29155543  0.41347966 -0.21441609  0.2785611  -0.41938394 -0.36125118
  0.25596198  0.31625602  0.3616712   0.4408192  -0.37501574  0.2715587
  0.16488692  0.36013487  0.4641977   0.41264787  0.28153688  0.3766128
 -0.3323531   0.2115606 ]"
188229,145526.png,"[ 0.33444545 -0.12381466  0.37741825 -0.31702822  0.30355823  0.14290854
 -0.08347666 -0.24669243  0.12190606 -0.1665149   0.342295   -0.10473643
  0.12127616  0.04991589 -0.00737467  0.21663512 -0.2616422  -0.15681775
  0.13627766  0.22063774  0.0391937   0.33998886 -0.00481609  0.0439357
  0.34499875  0.18382768  0.17857812 -0.00230546  0.03019123  0.16744451
 -0.15028797  0.15246804]"
78212,175161.png,"[ 0.03011095  0.01533406  0.02039254  0.04433207  0.12393202  0.14542618
 -0.31399354  0.13419193 -0.18891904  0.18981571 -0.16330525  0.12799804
  0.00247478  0.11670415  0.02754126  0.00722441 -0.13533263  0.12181157
  0.06480829  0.01596113 -0.11348574  0.12681705  0.23741896 -0.20258807
 -0.01484178  0.08920934 -0.15668319 -0.19342442 -0.1388665  -0.2417435
  0.01897792 -0.12782413]"
107426,214516.png,"[ 0.08479622 -0.2608594  -0.04406741 -0.36983716  0.19330676  0.00544921
  0.14519425 -0.22141995  0.25010508 -0.19719449  0.20397682  0.02786354
  0.14226243  0.39145833 -0.15782619  0.31781948 -0.08470438 -0.11055329
 -0.07136728  0.03627681 -0.17675012  0.0793703  -0.19302295 -0.03248882
 -0.01078615  0.17086504  0.02870903  0.01066711  0.18564469  0.06359966
  0.00710195  0.07889475]"
158509,84907.png,"[ 0.12673602 -0.24077167  0.14453551  0.07164174  0.24707334  0.20460531
 -0.11155951  0.07230193 -0.01363936 -0.00996804  0.2703107   0.02360963
 -0.14411378  0.28174734  0.02664133  0.11379674 -0.25022972 -0.04092827
 -0.05778386  0.00274557 -0.23037305  0.15340221 -0.03185171 -0.12544164
  0.10093228  0.23523133  0.08426806  0.20600484  0.00365397 -0.1758698
 -0.00343464 -0.03725972]"
32410,113220.png,"[ 0.06615102  0.06442104  0.10601669 -0.0567947   0.09128015 -0.02642318
 -0.0517851  -0.24074332  0.22976966  0.01006011  0.03736611 -0.12100945
  0.04318117  0.21793453  0.08164192  0.06505971 -0.07629915 -0.13877507
 -0.1490063   0.00407636 -0.25238138  0.0763156  -0.10420246  0.15616262
  0.20911683  0.04522561 -0.16235235  0.03864844 -0.072157    0.19023016
 -0.10981829  0.00870872]"
71554,166170.png,"[ 0.10436916 -0.20624802  0.36303386 -0.22376397  0.24397828 -0.09843025
  0.16680305 -0.42113796  0.14428505 -0.11725688  0.30607736 -0.37460774
  0.20937128  0.35808533 -0.13687724  0.23984149 -0.3050226  -0.25318775
  0.19367795 -0.02102573  0.06427839  0.22766644 -0.08145934  0.2912498
  0.21587864  0.3237904   0.23543948  0.20421983  0.01321186  0.19838011
 -0.23048483  0.1048042 ]"
40551,124356.png,"[-0.30965236  0.13078004 -0.10864691  0.05521753 -0.06198201  0.13302597
 -0.216205    0.07494915 -0.17223834  0.23515321 -0.10320085  0.15741171
 -0.1947136  -0.25239187  0.2659679  -0.09320572  0.12365682  0.14876585
 -0.16580236 -0.04674387 -0.24623725 -0.15034401  0.12771128 -0.08958881
 -0.15949592 -0.271849   -0.10199895 -0.14330578 -0.1698345  -0.12497643
  0.35569865 -0.32430315]"
207487,51078.png,"[ 0.01459499 -0.07222466  0.24773851 -0.24046683  0.00645946 -0.339154
  0.18210383 -0.06558926 -0.0523367  -0.31159952  0.17589433 -0.20650989
  0.27055097  0.42543948 -0.24331427  0.31214076 -0.2933917  -0.3285749
  0.311295    0.06343728  0.17603089  0.23149438 -0.10627207  0.29876858
  0.23603193  0.21456437  0.17648908  0.12135932  0.07454288  0.26313213
 -0.25452843  0.23858355]"
158367,8471.png,"[ 0.40600136 -0.2978148   0.48706648 -0.49066192  0.21692927  0.19930701
 -0.11785653 -0.36511016  0.23995495 -0.4077478   0.38777757 -0.29279387
  0.4817205   0.43678045 -0.14878988  0.56527275 -0.44057554 -0.42692852
  0.34918135  0.04182304  0.00298437  0.38051757 -0.04584577  0.16086103
  0.3865367   0.38242915  0.27000588  0.11409692  0.24822433  0.30441537
 -0.35418206  0.444812  ]"
11880,20521.png,"[-0.19795187  0.01993996 -0.00911514  0.05739078 -0.06580918  0.3110796
 -0.01806564  0.43782485 -0.1998083   0.31864753 -0.26938272  0.28550118
 -0.38868418 -0.10930589  0.298277   -0.17227319  0.22864662  0.20161062
 -0.17736448 -0.19771394 -0.21761039 -0.12420168  0.25256643 -0.19628315
 -0.06770935 -0.20637731 -0.10268261 -0.07444905 -0.23101638 -0.1536972
  0.36748594 -0.32084236]"
103843,209705.png,"[ 0.04996159 -0.03480189  0.09001002  0.01360949  0.34157038  0.20023046
  0.01369354  0.07547479  0.24370156  0.225342   -0.00816634 -0.12472762
  0.20697778 -0.03874131 -0.02696193  0.16652247 -0.05903426 -0.14332683
  0.3338233  -0.06285889 -0.01271663 -0.04468956 -0.13423914  0.07648695
  0.11663676  0.24968861 -0.01293261  0.00107745  0.19617487  0.12525418
 -0.02603426 -0.06499247]"
52438,140391.png,"[ 0.30256405 -0.2413658   0.268198   -0.21065037  0.2771088  -0.41368023
  0.10482044 -0.12013155  0.11503441 -0.09120702  0.07089004 -0.21328807
  0.25045103  0.3599899  -0.4580263   0.3019631  -0.15543087 -0.24723963
  0.37523326  0.27806404  0.05931091  0.37115008 -0.15115015  0.33087364
  0.22733003  0.37398428  0.1702315   0.10711368  0.1398839   0.20138243
 -0.18631394  0.5019377 ]"
177273,48269.png,"[-0.6517105   0.4296383  -0.11973186  0.16409488 -0.4368543   0.22753632
 -0.26692677  0.44154269 -0.30142906  0.253839   -0.32882518  0.08544806
 -0.0661132  -0.3521123   0.58289057 -0.1522423  -0.02289202  0.18944992
 -0.300996   -0.5608999  -0.36700222 -0.5150471   0.4670786  -0.32353437
 -0.24926251 -0.3932926  -0.04265863 -0.41693413 -0.38824904 -0.2837202
  0.40366805 -0.2592969 ]"
156357,81977.png,"[ 0.15988588 -0.39631444  0.34151593 -0.57891816  0.33082443 -0.2746643
  0.6937148  -0.27837574  0.30370095 -0.55648565  0.24915522 -0.24920446
  0.32926175  0.25965866 -0.21035558  0.393591   -0.59684366 -0.49275208
  0.3674946   0.23085171  0.2271314   0.48075852 -0.13803217  0.34746435
  0.39219463  0.5494556   0.27282092  0.1403617   0.23035921  0.38809448
 -0.58998895  0.28715822]"
46699,13259.png,"[ 0.16616268 -0.3163565   0.03536813 -0.24026173  0.08789983 -0.00379467
  0.04061344 -0.03742747  0.16747425 -0.17322549  0.1015549   0.03759567
 -0.00531256  0.2099558  -0.04099267  0.19954598 -0.01590905 -0.10183342
  0.30774415  0.1089249  -0.07569381  0.21964267 -0.17701225  0.08610936
  0.02169759  0.19145663  0.09781631  0.0101595   0.15669386  0.07991366
 -0.08223681  0.10435389]"
84398,183509.png,"[ 0.20038125 -0.29000923  0.279597   -0.4851421   0.2282941  -0.23010758
  0.3577025  -0.0300538   0.3175487  -0.21896791  0.28870434 -0.22687608
  0.21915545  0.3901465  -0.17557746  0.2350307  -0.42514843 -0.251028
  0.21980393  0.24519336  0.2844279   0.38979796 -0.09949752  0.4418577
  0.22331285  0.4724766   0.12753625  0.06858164  0.3167426   0.29957747
 -0.2856485   0.04851703]"
117593,2949.png,"[ 0.11359063 -0.17975713  0.34631    -0.46197963  0.25425315  0.05973068
 -0.19122338 -0.45579472  0.29917294 -0.76587486  0.46129465 -0.03862701
  0.21345082  0.26605257 -0.3676747   0.49939957 -0.2199939  -0.39532036
  0.07229684  0.12306931  0.11111102  0.44860953 -0.23941155  0.3776796
  0.41091624  0.16571495  0.252607    0.01251296  0.46530908  0.4010828
 -0.5216078   0.4658638 ]"
175244,208351.png,"[ 0.23769566  0.03684929 -0.23206925  0.10806878  0.08566019 -0.11693593
  0.01426742 -0.01677716 -0.00863796 -0.00047585  0.17678158 -0.04256228
 -0.0605382  -0.04157473  0.20063224  0.310184   -0.01195611  0.1380019
 -0.16293225 -0.15987268  0.06031894  0.13964063 -0.03333884  0.29156494
  0.11392684  0.23662382 -0.04902009  0.13295324  0.09262932  0.0055399
  0.08361439  0.00495568]"
